Frequency (Hz) - Plot 0,gain 0,gain 20,gain 40,gain 60
282,-126.165886,-124.795884,-111.749923,-111.503994
283,-126.968403,-125.831736,-113.439665,-110.394519
284,-126.215114,-126.624681,-110.705057,-111.632125
285,-126.700477,-124.751492,-114.562645,-111.946211
286,-127.829906,-126.860176,-113.069917,-109.515652
287,-127.709474,-126.141749,-115.153917,-111.222196
288,-128.347101,-124.625502,-112.043959,-109.905718
289,-128.078471,-128.64816,-114.352638,-111.888297
290,-128.347178,-127.861414,-112.600516,-111.152785
291,-127.364694,-122.810907,-114.532859,-110.648862
292,-127.648953,-126.328755,-114.423174,-112.073058
293,-126.453009,-125.866131,-116.275779,-110.771568
294,-128.784089,-126.677347,-112.665063,-111.135731
295,-125.56297,-130.382153,-112.454832,-111.369249
296,-125.300414,-127.033717,-112.74395,-112.016333
297,-129.920111,-124.189476,-109.319935,-115.194004
298,-129.122902,-126.264387,-117.788214,-112.737373
299,-127.263922,-129.326937,-115.936606,-110.101942
300,-127.420051,-123.335238,-108.451459,-105.281173
301,-127.582683,-127.9537,-114.31778,-112.717825
302,-128.932461,-128.628726,-115.569869,-113.742551
303,-128.509687,-124.741543,-111.146823,-112.131106
304,-128.865533,-126.658727,-113.255973,-111.152866
305,-127.621401,-124.325169,-114.379909,-110.988075
306,-128.028412,-126.274809,-111.965526,-110.34113
307,-127.243808,-122.980706,-112.84787,-111.780176
308,-125.066904,-127.003744,-115.157035,-110.561398
309,-126.694829,-127.63344,-115.012533,-110.169817
310,-128.25875,-124.254217,-112.382089,-112.0311
311,-128.396101,-125.190261,-116.828479,-111.284532
312,-124.768326,-126.187621,-112.554042,-111.149676
313,-126.606171,-123.696009,-113.332173,-104.897463
314,-126.748944,-123.962604,-112.879477,-111.40663
315,-124.066559,-127.871705,-112.424911,-109.926467
316,-125.720431,-127.876047,-113.780469,-111.891417
317,-128.618262,-126.940589,-114.725884,-111.378038
318,-127.037442,-123.55911,-113.202983,-112.011417
319,-127.79041,-125.862315,-113.181303,-109.463677
320,-125.589717,-125.357983,-114.786166,-112.155341
321,-129.135984,-129.419318,-114.869892,-110.33133
322,-128.761788,-125.362243,-114.274075,-111.809536
323,-128.72357,-125.983008,-112.402802,-111.976027
324,-126.812216,-126.495022,-115.255883,-111.218997
325,-127.889815,-125.156529,-113.901171,-109.320616
326,-128.216649,-129.901712,-110.224482,-112.097579
327,-126.291016,-126.069628,-114.102988,-112.74093
328,-129.968179,-127.071269,-114.386911,-111.402889
329,-127.146254,-126.717283,-115.950312,-111.049803
330,-131.080861,-124.824763,-113.320838,-111.512444
331,-126.34536,-128.721251,-113.418847,-113.368987
332,-123.817501,-126.973897,-113.045815,-112.54307
333,-124.197457,-126.48706,-113.185086,-112.032701
334,-128.223216,-126.836386,-114.232847,-112.612202
335,-126.786293,-128.013439,-116.078343,-112.271041
336,-127.407074,-128.967634,-112.237999,-112.630824
337,-127.698356,-125.275543,-115.197794,-108.853367
338,-128.366727,-122.89173,-114.591912,-114.388712
339,-125.296299,-124.674464,-111.683644,-112.556366
340,-127.977609,-126.02914,-115.363557,-111.687543
341,-128.039145,-127.639037,-114.704973,-112.434682
342,-127.967548,-125.010971,-114.342117,-109.688182
343,-127.522758,-125.648939,-114.76397,-110.514281
344,-127.594807,-125.36081,-113.799374,-114.404082
345,-127.098513,-127.126998,-112.981577,-113.291325
346,-125.210677,-127.847501,-112.187986,-112.934793
347,-127.304386,-125.344557,-115.128211,-110.332256
348,-126.804494,-124.797129,-112.381701,-112.230067
349,-126.169081,-127.050003,-112.551084,-113.794448
350,-128.206752,-127.319974,-115.947081,-111.522701
351,-127.680919,-126.087423,-113.875593,-112.688923
352,-127.194924,-126.192042,-113.6265,-109.646887
353,-125.051247,-125.404406,-112.243971,-113.320723
354,-126.623359,-127.453833,-114.154685,-113.080946
355,-127.091325,-125.010923,-115.659529,-111.952993
356,-126.248158,-124.960264,-112.182724,-110.882468
357,-128.672266,-127.106138,-115.722233,-111.362694
358,-127.720466,-124.249865,-113.185792,-109.284328
359,-127.222341,-124.907566,-114.29425,-108.304105
360,-129.56848,-130.091759,-112.340352,-110.700425
361,-128.493291,-126.592394,-114.830481,-111.627042
362,-127.789781,-125.147766,-114.707393,-112.662776
363,-127.794212,-127.027494,-114.48309,-112.222728
364,-123.325223,-125.321834,-113.555984,-109.75729
365,-126.367156,-121.773562,-114.049181,-110.982238
366,-127.558896,-123.439767,-112.796651,-109.888362
367,-127.721007,-124.906527,-112.987894,-111.17366
368,-124.239125,-125.55725,-113.29206,-108.612634
369,-127.908006,-123.396095,-112.251447,-113.603009
370,-126.216381,-128.575976,-112.959483,-111.474733
371,-125.355273,-127.861199,-111.150526,-111.270038
372,-128.591632,-125.614789,-115.790979,-110.047125
373,-128.330469,-124.628265,-111.019501,-109.172804
374,-125.536605,-126.565654,-111.62161,-108.906033
375,-128.853175,-124.600634,-113.635859,-101.726605
376,-125.51048,-124.99044,-111.794931,-107.156877
377,-127.667917,-123.973251,-113.800348,-109.656382
378,-125.959888,-125.932661,-113.280502,-109.599578
379,-127.001355,-127.741915,-115.705948,-111.30311
380,-127.654806,-126.750889,-113.538521,-113.976592
381,-126.392933,-125.849713,-113.420784,-112.374298
382,-126.196155,-126.184152,-113.907328,-111.411673
383,-123.923314,-124.889618,-116.962094,-111.262683
384,-124.862993,-127.040434,-113.848843,-110.139354
385,-127.792152,-126.918338,-112.048521,-113.858637
386,-127.435556,-124.809934,-112.789723,-112.835341
387,-128.902327,-128.113601,-114.937406,-112.347268
388,-127.721075,-127.754912,-111.816149,-110.853621
389,-127.54681,-125.883134,-112.557544,-112.336208
390,-126.772016,-125.287764,-114.137603,-112.337977
391,-126.306257,-126.377805,-111.553236,-110.652898
392,-128.604352,-124.556157,-112.294027,-111.356578
393,-126.173187,-127.187964,-114.949979,-113.91384
394,-127.028321,-125.843854,-112.316928,-114.607535
395,-126.490213,-125.107881,-113.389531,-111.331992
396,-130.566648,-125.36886,-113.528391,-112.3563
397,-127.390262,-126.944708,-113.203237,-113.311017
398,-125.684279,-124.492955,-113.973939,-111.766756
399,-128.696712,-123.862464,-111.835634,-113.577384
400,-126.736852,-127.405401,-113.493418,-107.552316
401,-124.817825,-126.344532,-111.362791,-110.308013
402,-129.218894,-123.808836,-111.562527,-112.848299
403,-127.662232,-125.036376,-111.444032,-111.671995
404,-122.939554,-124.957426,-114.595844,-112.247178
405,-127.275275,-126.019907,-114.407207,-114.643284
406,-126.957834,-125.315198,-113.733932,-112.404766
407,-126.446667,-128.616508,-115.177721,-112.83627
408,-126.164827,-125.874694,-110.565809,-112.620106
409,-126.613758,-123.345806,-112.970386,-114.316041
410,-127.357588,-127.913917,-114.937238,-110.084335
411,-128.229694,-127.859533,-114.694348,-109.827442
412,-128.109725,-125.449659,-114.398516,-113.318427
413,-128.767116,-125.599411,-113.430835,-112.194912
414,-127.372165,-126.560532,-115.312456,-114.426591
415,-124.643534,-127.146973,-114.074926,-112.345578
416,-125.275119,-126.496866,-116.149731,-112.672946
417,-130.023672,-126.303867,-113.151609,-113.027591
418,-126.162716,-125.14349,-112.903295,-111.796369
419,-126.119461,-125.127296,-114.444446,-111.023156
420,-127.064634,-124.065035,-110.550301,-109.58279
421,-128.591724,-126.408437,-113.478392,-110.602372
422,-130.453648,-124.831039,-111.934816,-112.387058
423,-126.700843,-126.705858,-117.265325,-113.337641
424,-127.823859,-124.952663,-113.371801,-110.320351
425,-128.229045,-125.343541,-114.477966,-112.631538
426,-127.194774,-127.864764,-114.635245,-112.21785
427,-126.961638,-126.875771,-113.116749,-111.624719
428,-125.999089,-128.588193,-114.254194,-110.429863
429,-126.510621,-124.422286,-114.097453,-111.484622
430,-126.436277,-132.140746,-112.802089,-110.291007
431,-125.162538,-125.803159,-113.362777,-111.490512
432,-126.962009,-127.045957,-112.764174,-113.060145
433,-126.242419,-127.494213,-114.598068,-114.190743
434,-125.696168,-126.411745,-113.741837,-111.283508
435,-128.36235,-124.116189,-113.866387,-111.278956
436,-128.128031,-129.655636,-113.56647,-111.501404
437,-127.340502,-126.877081,-112.265808,-109.607983
438,-126.781036,-126.077972,-117.352463,-102.399898
439,-126.075902,-126.448443,-112.240867,-110.324584
440,-127.323807,-128.484317,-113.23716,-112.597712
441,-127.763233,-126.521093,-114.120891,-111.754871
442,-126.393069,-126.941802,-113.18393,-113.790415
443,-125.563739,-128.090313,-115.4143,-111.069367
444,-127.637328,-128.342131,-112.43625,-112.098117
445,-127.160218,-125.75353,-113.100373,-112.480082
446,-127.608194,-128.255328,-113.595575,-111.961484
447,-126.270432,-126.348794,-113.35557,-110.466076
448,-125.46537,-123.943566,-114.951885,-109.985056
449,-127.309556,-127.484278,-114.718671,-110.835577
450,-127.935957,-127.839974,-114.703813,-112.008562
451,-127.387896,-125.623009,-113.869829,-112.747491
452,-124.267265,-124.454521,-112.010897,-110.971592
453,-126.619321,-125.520441,-114.636936,-111.845206
454,-127.032837,-127.445979,-114.795774,-111.025427
455,-126.43664,-128.391868,-113.133869,-110.024125
456,-125.09375,-126.64169,-113.12696,-112.15778
457,-126.942832,-122.695759,-114.721211,-112.728651
458,-127.204223,-125.116925,-114.901223,-108.583454
459,-128.817001,-125.267242,-115.886606,-112.864303
460,-126.170698,-127.098334,-111.852279,-113.174481
461,-125.36533,-127.272715,-112.868538,-111.678815
462,-125.66632,-127.862637,-113.615437,-112.644303
463,-131.122996,-124.472192,-114.965243,-112.662684
464,-128.21237,-125.211504,-114.322784,-111.469039
465,-128.139542,-124.990335,-112.216226,-113.347415
466,-126.679858,-126.612031,-113.784058,-111.817441
467,-123.956378,-126.099192,-115.619993,-114.084411
468,-126.894141,-125.067588,-113.953493,-112.106042
469,-127.309839,-124.795072,-115.779498,-112.078795
470,-127.237496,-127.565896,-112.053695,-113.654757
471,-127.94064,-127.380064,-113.367499,-110.327152
472,-126.930838,-124.787377,-113.397852,-111.991301
473,-126.686069,-126.627227,-113.00624,-110.642705
474,-126.588697,-126.56905,-112.638277,-110.893364
475,-127.343444,-128.723661,-114.18774,-111.763837
476,-123.210893,-125.204718,-114.687069,-113.036463
477,-126.110581,-125.396194,-112.732333,-112.575287
478,-124.91094,-127.976416,-113.321866,-110.577776
479,-127.541217,-125.262959,-113.702117,-110.537774
480,-125.504682,-123.402761,-109.243801,-108.980412
481,-128.38452,-127.435039,-113.50298,-112.010591
482,-126.280756,-125.203122,-113.083341,-111.478995
483,-126.125957,-127.233453,-112.049488,-113.734011
484,-124.974929,-127.131627,-114.170305,-110.798855
485,-126.863182,-125.61736,-113.961728,-110.63531
486,-125.935552,-127.007002,-114.722377,-112.880228
487,-127.166808,-126.119345,-114.719668,-110.930158
488,-127.253362,-125.090685,-115.008932,-111.551328
489,-127.3545,-124.86345,-115.436959,-111.399381
490,-128.683738,-124.688409,-114.519444,-112.080203
491,-125.630641,-126.537528,-112.592777,-112.43763
492,-126.485925,-126.105591,-113.619865,-111.561722
493,-129.365975,-125.342837,-114.51417,-112.182149
494,-127.655811,-124.867391,-116.436804,-111.074044
495,-127.993152,-125.041447,-113.428269,-110.453378
496,-126.474628,-126.813812,-113.212096,-111.018059
497,-126.286546,-127.414433,-113.729368,-111.121244
498,-126.064847,-124.025472,-114.788552,-112.182964
499,-130.309059,-124.345073,-114.740993,-108.704655
500,-126.487128,-127.98355,-117.034145,-100.660949
501,-125.032257,-124.150341,-113.389606,-110.230503
502,-127.906611,-125.193076,-112.023485,-110.901901
503,-127.606244,-124.968867,-115.922708,-109.249957
504,-127.48228,-125.09481,-113.376744,-112.981931
505,-128.406885,-124.585887,-114.256438,-110.338006
506,-127.356632,-129.414752,-115.492744,-115.961923
507,-126.60518,-128.992134,-114.672504,-110.108049
508,-126.023481,-125.762323,-114.242086,-111.551089
509,-125.028652,-126.161442,-114.807037,-113.468413
510,-126.354816,-124.735614,-113.634165,-111.404405
511,-124.701293,-127.63606,-112.714957,-111.633391
512,-119.581345,-129.205761,-113.654487,-111.710743
513,-127.608907,-126.695529,-113.403334,-110.901928
514,-127.746706,-126.457208,-114.366908,-115.145022
515,-128.820417,-124.325189,-111.615711,-111.711406
516,-125.057493,-125.009216,-112.953416,-113.763844
517,-128.521072,-128.480486,-114.28257,-111.721831
518,-123.666909,-124.460292,-112.45222,-114.788617
519,-127.586314,-126.725117,-113.054352,-110.719674
520,-125.693054,-126.087,-116.315848,-114.11938
521,-129.927095,-126.58989,-112.360094,-111.16328
522,-125.860466,-123.013913,-118.045041,-113.669489
523,-127.102513,-125.833486,-112.478791,-113.37697
524,-122.674098,-127.639042,-115.771427,-110.406349
525,-124.977931,-128.332408,-114.267749,-111.70612
526,-126.014227,-123.052869,-113.605762,-113.042765
527,-127.345181,-124.811474,-112.341426,-113.749749
528,-127.939949,-125.755296,-113.263305,-111.485828
529,-127.959668,-125.532488,-113.820871,-114.725189
530,-127.472101,-128.416688,-113.307196,-112.528434
531,-125.852192,-125.630164,-112.487906,-110.374531
532,-127.552674,-123.329833,-112.193164,-111.904595
